or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index,price,commute
37.389254+-122.079902,2952.0,4872.0,49.2,81,mountain view,Charming home in Downtown area. Blocks to Castro St. Updated Kitchen.,2995.0,2.0,4466668810.0,2014-05-15,http://sfbay.craigslist.org/pen/apa/4466668810.html,850.0,http://sfbay.craigslist.org/apa/index2900.html,-122.079902,37.389254,3.523529411764706,sfbay,4,2995,65
37.901881+-122.55778,2071.0,3774.0,34.516666666666666,62,mill valley,Sunny Renovated Home With  Hot Tub Level Yard Foundation,7500.0,4.0,4553095464.0,2014-07-06,http://sfbay.craigslist.org/nby/apa/4553095464.html,2400.0,http://sfbay.craigslist.org/apa/index500.html,-122.55778,37.901881,3.125,sfbay,5,7500,48
37.679864+-121.788726,2881.0,4398.0,48.016666666666666,73,dublin / pleasanton / livermore,This Awesome One-Bedroom Will Be Available In June!,1672.0,1.0,4535679604.0,2014-06-23,http://sfbay.craigslist.org/eby/apa/4535679604.html,636.0,http://sfbay.craigslist.org/apa/index500.html,-121.788726,37.679864,2.6289308176100628,sfbay,6,1672,60
37.397267+-122.088039,2871.0,4625.0,47.85,77,mountain view,"Renovated, Great Amenities and Close to Downtown MV!",4125.0,3.0,4543364295.0,2014-06-28,http://sfbay.craigslist.org/pen/apa/4543364295.html,1056.0,http://sfbay.craigslist.org/apa/index2100.html,-122.088039,37.397267,3.90625,sfbay,9,4125,62
37.885869+-122.260614,1972.0,3577.0,32.86666666666667,59,berkeley north / hills,"Beautiful furnished historic house- decks, fireplaces, even a piano!",4900.0,3.0,4535188610.0,2014-07-04,http://sfbay.craigslist.org/eby/apa/4535188610.html,2400.0,http://sfbay.craigslist.org/apa/index300.html,-122.260614,37.885869,2.0416666666666665,sfbay,14,4900,45
37.487837+-121.926069,2838.0,4394.0,47.3,73,Fremont,Warm Springs Condo available in June,2349.0,2.0,4516550294.0,2014-06-11,http://sfbay.craigslist.org/sby/apa/4516550294.html,900.0,http://sfbay.craigslist.org/apa/,-121.926069,37.487837,2.61,sfbay,16,2349,60
37.704357+-121.911587,2395.0,3702.0,39.916666666666664,61,dublin / pleasanton / livermore,"Amazing Views, Close to 580/680 and BART",2195.0,1.0,4523918836.0,2014-06-19,http://sfbay.craigslist.org/eby/apa/4523918836.html,783.0,http://sfbay.craigslist.org/apa/index2800.html,-121.911587,37.704357,2.8033205619412516,sfbay,18,2195,50
37.704357+-121.911587,2395.0,3702.0,39.916666666666664,61,dublin / pleasanton / livermore,Luxury meets comfort,2195.0,1.0,4537496429.0,2014-06-24,http://sfbay.craigslist.org/eby/apa/4537496429.html,638.0,http://sfbay.craigslist.org/apa/index300.html,-121.911587,37.704357,3.4404388714733543,sfbay,592,2195,50
37.399846+-122.07144,2769.0,4383.0,46.15,73,mountain view,"Conviently located Mountain View 1bd, 1ba",2200.0,1.0,4507847133.0,2014-06-30,http://sfbay.craigslist.org/sby/apa/4507847133.html,564.0,http://sfbay.craigslist.org/apa/index2200.html,-122.07144,37.399846,3.900709219858156,sfbay,20,2200,59
37.964474+-122.297865,1912.0,3544.0,31.866666666666667,59,"hercules, pinole, san pablo, el sob",2 BEDROOM APARTMENT-NEWLY DECORATED,1050.0,2.0,4522784957.0,2014-07-03,http://sfbay.craigslist.org/eby/apa/4522784957.html,750.0,http://sfbay.craigslist.org/apa/index2700.html,-122.297865,37.964474,1.4,sfbay,21,1050,45
