or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
37.77102+-122.279527,1462.0,2927.0,24.366666666666667,48.78333333333333,alameda,HUGE Country Kitchen! Only One Shared Wall~ Private Sunny Balcony!,1850.0,2.0,4532541681.0,2014-06-21,http://sfbay.craigslist.org/eby/apa/4532541681.html,NA,http://sfbay.craigslist.org/apa/index200.html,-122.279527,37.77102,NA,sfbay,2001
37.7562+-121.9522,2724.0,4877.0,45.4,81.28333333333333,danville / san ramon,Remodelled One bedrom with W/D inside !,1780.0,1.0,4533692465.0,2014-06-22,http://sfbay.craigslist.org/eby/apa/4533692465.html,734.0,http://sfbay.craigslist.org/apa/index700.html,-121.9522,37.7562,2.4250681198910082,sfbay,2002
37.7562+-121.9522,2724.0,4877.0,45.4,81.28333333333333,danville / san ramon,House for Rent,4e3,4.0,4495276263.0,2014-06-08,http://sfbay.craigslist.org/eby/apa/4495276263.html,2800.0,http://sfbay.craigslist.org/apa/,-121.9522,37.7562,1.4285714285714286,sfbay,2114
37.7562+-121.9522,2724.0,4877.0,45.4,81.28333333333333,danville / san ramon,Remodelled One bedrom with W/D inside !,1905.0,1.0,4544714788.0,2014-06-29,http://sfbay.craigslist.org/eby/apa/4544714788.html,734.0,http://sfbay.craigslist.org/apa/index1700.html,-121.9522,37.7562,2.595367847411444,sfbay,2754
37.7562+-121.9522,2724.0,4877.0,45.4,81.28333333333333,danville / san ramon,2B 2Ba Excel Schools Like New Gated Ground Floor,2100.0,2.0,4512005410.0,2014-06-09,http://sfbay.craigslist.org/eby/apa/4512005410.html,940.0,http://sfbay.craigslist.org/apa/index2700.html,-121.9522,37.7562,2.234042553191489,sfbay,2952
37.796771+-122.3982,443.0,1029.0,7.383333333333334,17.15,financial district,Studios next to the financial district! Convenience at your doorstep!,2835.0,NA,4538983705.0,2014-06-25,http://sfbay.craigslist.org/sfc/apa/4538983705.html,NA,http://sfbay.craigslist.org/apa/index800.html,-122.3982,37.796771,NA,sfbay,2003
37.75046+-122.161338,1638.0,3228.0,27.3,53.8,oakland east,Agua y Basura Incluidos! Apartamento de 2 recamaras,1e3,1.0,4460927202.0,2014-05-14,http://sfbay.craigslist.org/eby/apa/4460927202.html,NA,http://sfbay.craigslist.org/apa/index1300.html,-122.161338,37.75046,NA,sfbay,2004
38.26361+-122.065381,3291.0,5700.0,54.85,95.0,fairfield / vacaville,Spacious 5 bed 2.5 bath home in Fairfield	,2195.0,5.0,4523624420.0,2014-06-19,http://sfbay.craigslist.org/eby/apa/4523624420.html,2378.0,http://sfbay.craigslist.org/apa/index1300.html,-122.065381,38.26361,0.9230445752733389,sfbay,2005
37.764931+-122.475135,1317.0,2947.0,21.95,49.11666666666667,inner sunset / UCSF,Spacious 2 Bedroom In The Heart Of Inner Sunset!,2950.0,2.0,4500345865.0,2014-06-18,http://sfbay.craigslist.org/sfc/apa/4500345865.html,NA,http://sfbay.craigslist.org/apa/index2800.html,-122.475135,37.764931,NA,sfbay,2006
38.242979+-122.05363,3314.0,5763.0,55.233333333333334,96.05,fairfield / vacaville,3 bed 1 bath home in Fairfield	,1295.0,3.0,4479740738.0,2014-05-27,http://sfbay.craigslist.org/eby/apa/4479740738.html,1014.0,http://sfbay.craigslist.org/apa/index3600.html,-122.05363,38.242979,1.277120315581854,sfbay,2007
37.925389+-122.529759,1840.0,3686.0,30.666666666666668,61.43333333333333,corte madera,2 bed/2bath & garage home for rent,2895.0,2.0,4548052843.0,2014-07-01,http://sfbay.craigslist.org/nby/apa/4548052843.html,1114.0,http://sfbay.craigslist.org/apa/index2600.html,-122.529759,37.925389,2.598743267504488,sfbay,2008
37.844173+-122.294054,1160.0,2410.0,19.333333333333332,40.166666666666664,emeryville,Comfort and Convenience,2040.0,1.0,4520946923.0,2014-06-14,http://sfbay.craigslist.org/eby/apa/4520946923.html,695.0,http://sfbay.craigslist.org/apa/index600.html,-122.294054,37.844173,2.935251798561151,sfbay,2009
37.893791+-122.077707,1819.0,3361.0,30.316666666666666,56.016666666666666,walnut creek,1 bedroom ground floor near downtown/24 for easy commuting!,1275.0,1.0,4468985729.0,2014-05-13,http://sfbay.craigslist.org/eby/apa/4468985729.html,600.0,http://sfbay.craigslist.org/apa/index900.html,-122.077707,37.893791,2.125,sfbay,2010
38.284244+-122.034245,3460.0,6015.0,57.666666666666664,100.25,fairfield / vacaville,Spacious Units & Fantastic Prices!!,1023.0,2.0,4470613313.0,2014-05-14,http://sfbay.craigslist.org/eby/apa/4470613313.html,800.0,http://sfbay.craigslist.org/apa/index1000.html,-122.034245,38.284244,1.27875,sfbay,2011
37.69003+-121.887268,2598.0,4712.0,43.3,78.53333333333333,dublin / pleasanton / livermore,Luxury is what you deserve!,2246.0,2.0,4534702626.0,2014-06-23,http://sfbay.craigslist.org/eby/apa/4534702626.html,881.0,http://sfbay.craigslist.org/apa/index3400.html,-121.887268,37.69003,2.5493757094211125,sfbay,2012
37.336521+-122.037978,3455.0,5517.0,57.583333333333336,91.95,cupertino,"Enjoy a Gorgeous 1x1 with W/D, A/C, New Applainces and More!",2486.0,1.0,4492318e3,2014-05-28,http://sfbay.craigslist.org/sby/apa/4492318000.html,795.0,http://sfbay.craigslist.org/apa/index2900.html,-122.037978,37.33652100000001,3.127044025157233,sfbay,2013
37.560262+-122.050745,3166.0,5864.0,52.766666666666666,97.73333333333333,fremont / union city / newark,Beautiful Condo for rent in Ardenwood forest park school Neighborhood,2100.0,2.0,4484022983.0,2014-05-22,http://sfbay.craigslist.org/eby/apa/4484022983.html,1100.0,http://sfbay.craigslist.org/apa/index100.html,-122.050745,37.560262,1.9090909090909092,sfbay,2014
37.370164+-122.05744,3554.0,5712.0,59.233333333333334,95.2,sunnyvale,Be at the center of it all in this beautiful 2bed/2bath apt. home!,2950.0,2.0,4465177961.0,2014-05-11,http://sfbay.craigslist.org/sby/apa/4465177961.html,1200.0,http://sfbay.craigslist.org/apa/index1200.html,-122.05744,37.370164,2.4583333333333335,sfbay,2015
37.356411+-121.95616,4587.0,6395.0,76.45,106.58333333333333,santa clara,Open & Spacious Three Bedroom With Garden View,2699.0,3.0,4529088901.0,2014-06-19,http://sfbay.craigslist.org/sby/apa/4529088901.html,NA,http://sfbay.craigslist.org/apa/index900.html,-121.95616,37.356411,NA,sfbay,2016
38.420229+-122.73778,4272.0,7135.0,71.2,118.91666666666667,santa rosa,1447 Trombetta,1050.0,1.0,4492376367.0,2014-05-28,http://sfbay.craigslist.org/nby/apa/4492376367.html,NA,http://sfbay.craigslist.org/apa/index2800.html,-122.73778,38.420229,NA,sfbay,2017
37.368441+-122.00397,3824.0,6230.0,63.733333333333334,103.83333333333333,sunnyvale,Perfect Jr. 1x1 ready in August! Call for more details.,1900.0,1.0,4555369695.0,2014-07-06,http://sfbay.craigslist.org/sby/apa/4555369695.html,547.0,http://sfbay.craigslist.org/apa/index1300.html,-122.00397,37.368441,3.473491773308958,sfbay,2018
37.597351+-122.385828,1837.0,3778.0,30.616666666666667,62.96666666666667,millbrae,Brand new 54 units luxury condo for rent,3600.0,3.0,4523252163.0,2014-07-03,http://sfbay.craigslist.org/pen/apa/4523252163.html,NA,http://sfbay.craigslist.org/apa/index3000.html,-122.385828,37.597351,NA,sfbay,2019
37.868309+-122.27018,1553.0,3354.0,25.883333333333333,55.9,berkeley,2BR  Immediate move in!! CALL NOW!!,3500.0,2.0,4543937944.0,2014-06-28,http://sfbay.craigslist.org/eby/apa/4543937944.html,797.0,http://sfbay.craigslist.org/apa/index500.html,-122.27018,37.868309000000004,4.391468005018821,sfbay,2020
37.522644+-122.331058,2238.0,4027.0,37.3,67.11666666666666,san mateo,BRAND NEW remodeled home West Side San Mateo Hills,4400.0,3.0,4490907175.0,2014-06-08,http://sfbay.craigslist.org/pen/apa/4490907175.html,2400.0,http://sfbay.craigslist.org/apa/index1800.html,-122.331058,37.522644,1.8333333333333333,sfbay,2021
37.333911+-122.015319,3423.0,5394.0,57.05,89.9,cupertino,You Will Love Living Here! The Region's Best Apartment Home!,3395.0,2.0,4543633919.0,2014-06-28,http://sfbay.craigslist.org/sby/apa/4543633919.html,1197.0,http://sfbay.craigslist.org/apa/index1500.html,-122.015319,37.333911,2.8362573099415203,sfbay,2022
37.8365+-122.2804,1278.0,2624.0,21.3,43.733333333333334,emeryville,Amazing 2 Bedroom 2.5 Bath Townhouse,3e3,2.0,4471621398.0,2014-05-15,http://sfbay.craigslist.org/eby/apa/4471621398.html,1296.0,http://sfbay.craigslist.org/apa/index2800.html,-122.2804,37.8365,2.314814814814815,sfbay,2023
37.744637+-122.46126,1523.0,3167.0,25.383333333333333,52.78333333333333,west portal / forest hill,3 BR/1 BA 1500FT2  FURNISHED UPPER LEVEL FLAT/HOME,5e3,3.0,4474691423.0,2014-05-17,http://sfbay.craigslist.org/sfc/apa/4474691423.html,1500.0,http://sfbay.craigslist.org/apa/index2300.html,-122.46126,37.744637,3.3333333333333335,sfbay,2024
38.002592+-121.817467,2865.0,4962.0,47.75,82.7,pittsburg / antioch,Large 2 BD 1 BTH Home Ready For You (Creed),1375.0,2.0,4504112092.0,2014-06-20,http://sfbay.craigslist.org/eby/apa/4504112092.html,1146.0,http://sfbay.craigslist.org/apa/index800.html,-121.817467,38.002592,1.199825479930192,sfbay,2025
37.7641+-122.1633,1649.0,3121.0,27.483333333333334,52.016666666666666,Eastmont Hills,beautiful 3/2 Single Family Home for rent 7/1,2400.0,3.0,4491013123.0,2014-05-27,http://sfbay.craigslist.org/eby/apa/4491013123.html,NA,http://sfbay.craigslist.org/apa/index1800.html,-122.1633,37.7641,NA,sfbay,2026
37.7641+-122.1633,1649.0,3121.0,27.483333333333334,52.016666666666666,Eastmont Hills,beautiful 3/2 Single Family Home for rent 7/1,2400.0,3.0,4491007649.0,2014-05-27,http://sfbay.craigslist.org/eby/apa/4491007649.html,NA,http://sfbay.craigslist.org/apa/index1800.html,-122.1633,37.7641,NA,sfbay,2898
37.425184+-122.207966,2826.0,4852.0,47.1,80.86666666666666,mountain view,"1111 sq ft. 2x2 Ready Now! New Carpet, Plenty of Storage space!",4716.0,NA,4500974205.0,2014-06-02,http://sfbay.craigslist.org/pen/apa/4500974205.html,1111.0,http://sfbay.craigslist.org/apa/index1400.html,-122.20796599999998,37.425184,4.244824482448244,sfbay,2027
37.863381+-122.272076,1417.0,3170.0,23.616666666666667,52.833333333333336,berkeley,Two Bedroom One Bath Close to campus,1900.0,2.0,4478862678.0,2014-05-19,http://sfbay.craigslist.org/eby/apa/4478862678.html,700.0,http://sfbay.craigslist.org/apa/index300.html,-122.272076,37.863381,2.7142857142857144,sfbay,2028
37.783098+-122.479577,1244.0,2639.0,20.733333333333334,43.983333333333334,richmond / seacliff,Large 2BR/1BA,2750.0,2.0,4530790209.0,2014-06-20,http://sfbay.craigslist.org/sfc/apa/4530790209.html,1e3,http://sfbay.craigslist.org/apa/index1100.html,-122.479577,37.783098,2.75,sfbay,2029
37.271943+-122.013569,3753.0,6019.0,62.55,100.31666666666666,saratoga,STUNNING 5 Bedroom House in Beautiful Saratoga- COMING SOON,8100.0,5.0,4481912721.0,2014-05-27,http://sfbay.craigslist.org/sby/apa/4481912721.html,4005.0,http://sfbay.craigslist.org/apa/index3400.html,-122.013569,37.271943,2.0224719101123596,sfbay,2030
37.349655+-121.889248,4092.0,6688.0,68.2,111.46666666666667,san jose downtown,"Charming Home Blocks From Japantown. Hardwood Floors, Yard.",3395.0,3.0,4563186203.0,2014-07-10,http://sfbay.craigslist.org/sby/apa/4563186203.html,1521.0,http://sfbay.craigslist.org/apa/index300.html,-121.889248,37.349655,2.232084155161078,sfbay,2031
37.729996+-121.425705,4042.0,6914.0,67.36666666666666,115.23333333333333,dublin / pleasanton / livermore,single house near tracy sports complex for rent,1845.0,4.0,4521291051.0,2014-06-20,http://sfbay.craigslist.org/eby/apa/4521291051.html,2160.0,http://sfbay.craigslist.org/apa/index3200.html,-121.425705,37.729996,0.8541666666666666,sfbay,2032
38.468156+-122.759793,4467.0,7878.0,74.45,131.3,santa rosa,Hurry To Have YOUR Pick Of The Bunch!,1275.0,1.0,4474302843.0,2014-05-19,http://sfbay.craigslist.org/nby/apa/4474302843.html,NA,http://sfbay.craigslist.org/apa/index2800.html,-122.759793,38.468156,NA,sfbay,2033
38.468156+-122.759793,4467.0,7878.0,74.45,131.3,santa rosa,LOVELY Time of Year to MOVE! Come See What's Blooming!,1275.0,1.0,4521049888.0,2014-06-14,http://sfbay.craigslist.org/nby/apa/4521049888.html,NA,http://sfbay.craigslist.org/apa/index300.html,-122.759793,38.468156,NA,sfbay,2284
37.377387+-122.059575,3604.0,5983.0,60.06666666666667,99.71666666666667,mountain view,Wall to Wall Closets,2355.0,2.0,4545686804.0,2014-06-29,http://sfbay.craigslist.org/sby/apa/4545686804.html,874.0,http://sfbay.craigslist.org/apa/index100.html,-122.059575,37.377387,2.694508009153318,sfbay,2034
